ID,Тип,марка,вид,Страна,форма,Оборот,Иерархия1,Иерархия2,Иерархия3,Иерархия4,Иерархия5,,,,
220,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
221,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
222,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
223,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
224,Пиво,Carlsberg,Lager,Дания,Квадрат,Да,Lager,,,,,,,,
225,Пиво,Krušovice,Много,Чехия,Квадрат,Да,-,,,,,,,,
226,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
227,Пиво,Балтика 7,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
228,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
229,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
230,Пиво,Невское,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
231,Пиво,Невское,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
232,Заведение,Funk haus,Ресторан,Германия,Квадрат,Да,-,,,,,,,,
233,Пиво,Holsten ,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
234,Пиво,Carlsberg,Lager,Дания,Квадрат,Да,Lager,,,,,,,,
235,Пиво,Zlatý Bažant,Pilsner,Словакия,Квадрат,Да,Lager,Pilsner,,,,,,,
236,Заведение,Балтика,Пивоварня,Россия,Ромб,Да,-,,,,,,,,
237,Пиво,Edelweiss,Weissbier,Австрия,Квадрат,Да,Ale,German Ale,Weissbier,,,,,,
238,Пиво,Guinness,Stout,Ирландия,Квадрат,Да,Ale,Stout,,,,,,,
239,Пиво,Lapin Kulta,Lager,Финляндия,Квадрат,Да,Lager,,,,,,,,
240,Пиво,Löwenbräu,Lager,Германия,Квадрат,Да,Lager,,,,,,,,
241,Пиво,Löwenbräu,Lager,Германия,Квадрат,Да,Lager,,,,,,,,
242,Пиво,Mönchshof,Lager,Германия,Квадрат,Да,Lager,,,,,,,,
243,Пиво,Bitburger,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
244,Пиво,Guinness,Stout,Ирландия,Квадрат,Да,Ale,Stout,,,,,,,
245,Пиво,Karjala,Lager,Финляндия,Квадрат,Да,Lager,,,,,,,,
246,Бурбон,Jim Beam,-,США,Квадрат,Да,-,,,,,,,,
247,Пиво,Primátor Světlý,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
248,Пиво,Krombacher,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
249,Пиво,Harp Premium Lager,Lager,Ирландия,Квадрат,Да,Lager,,,,,,,,
250,Пиво,Foster's,Lager,Австралия,Квадрат,Да,Lager,,,,,,,,
251,Пиво,Krombacher,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
252,Пиво,Василеостровское,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
253,Пиво,Clausthaler,Non-Alcoholic,Германия,Квадрат,Да,-,,,,,,,,
254,Пиво,Василеостровское,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
255,Пиво,Bourgogne Des Flandres Brune/Bruin,Flanders Oud Bruin,Бельгия,Квадрат,Да,Ale,German Ale,Sour,Flanders Brown Ale/Oud Bruin,,,,,
256,Пиво,Smithwick's,Red Ale,Ирландия,Квадрат,Да,Ale,Irish Ale,Red Ale,,,,,,
257,Пиво,Leffe,Много,Бельгия,Квадрат,Нет,-,,,,,,,,
258,Заведение,Airbräu,Пивоварня,Германия,Квадрат,Да,-,,,,,,,,
259,Пиво,Wells Bombardier ,English Bitter,Англия,Квадрат,Да,Ale,Pale Ale,English Pale Ale/Bitter,,,,,,
260,Пиво,Pilsner Urquell,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
261,Пиво,Krombacher,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
262,Пиво,Carling,Lager,Англия,Квадрат,Да,Lager,,,,,,,,
263,Пиво,Gaffel Kölsch,Kölsch,Германия,Квадрат,Да,Lager,Kolsch,,,,,,,
264,Заведение,Rock Bottom,Пивоварня,США,Квадрат,Да,-,,,,,,,,
265,Заведение,Rock Bottom,Пивоварня,США,Квадрат,Да,-,,,,,,,,
266,Сидр,Stassen Cider,Cider,Бельгия,Ромб,Да,-,,,,,,,,
267,Заведение,Belhaven Brewery,Пивоварня,Шотландия,Квадрат,Да,-,,,,,,,,
268,Заведение,Volfas Engelman,Пивоварня,Литва,Квадрат,Да,-,,,,,,,,
269,Пиво,Erdinger Weißbier,Hefeweizen,Германия,Другое,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
270,Пиво,Tucher Helles Hefe Weizen,Hefeweizen,Германия,Квадрат,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
271,Пиво,Балтика 8,Hefeweizen,Россия,Квадрат,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
272,Лимонад,Schweppes,Лимонад,Швейцария,Квадрат,Нет,-,,,,,,,,
273,Пиво,Amstel,Lager,Голландия,Квадрат,Да,Lager,,,,,,,,
274,Пиво,Klášter,Pilsner,Чехия,Ромб,Да,Lager,Pilsner,,,,,,,
275,Пиво,Newcastle Brown Ale,Brown Ale,Англия,Квадрат,Да,Ale,Brown Ale,,,,,,,
276,Джин,Original GIN,Gin,Финляндия,Ромб,Да,-,,,,,,,,
277,Пиво,FranziskanerWeissbier,Hefeweizen,Германия,Квадрат,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
278,Заведение,Belhaven Brewery,Пивоварня,Шотландия,Квадрат,Да,-,,,,,,,,
279,Пиво,Балтика 7,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
280,Заведение,Cista trubka,Ресторан,Чехия,Ромб,Да,-,,,,,,,,
281,Пиво,Köstritzer Schwarzbier,Schwarzbier,Германия,Квадрат,Да,Lager,German lager,Schwarzbier,,,,,,
282,Пиво,San Miguel,Lager,Испания,Квадрат,Да,Lager,,,,,,,,
283,Пиво,König Pilsener,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
284,Заведение,St. Peter’s,Пивоварня,Англия,Квадрат,Да,-,,,,,,,,
285,Заведение,St. Peter’s,Пивоварня,Англия,Квадрат,Да,-,,,,,,,,
286,Пиво,Karlovec,Много,Чехия,Квадрат,Да,-,,,,,,,,
287,Заведение,Widmer Brothers Brewing,Ресторан-пивоварня,США,Квадрат,Нет,-,,,,,,,,
288,Пиво,Pilsner Urquell,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
289,Пиво,Жигули,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
290,Пиво,Pilsner Urquell,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
291,Пиво,Pilsner Urquell,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
292,Пиво,Berliner Kindl Jubiläums Pilsener,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
293,Заведение,Marathonbet,Букмекер,Англия,Квадрат,Да,-,,,,,,,,
294,Пиво,Berliner Kindl Jubiläums Pilsener,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
295,Пиво,Kozel ,Много,Чехия,Квадрат,Да,-,,,,,,,,
296,Пиво,McEwan's Scotch Ale,Scotch Ale,Англия,Квадрат,Да,Ale,Pale Ale,Strong Pale Ale,Scotch Ale,,,,,
297,Пиво,Kasteel,Много,Бельгия,Квадрат,Да,-,,,,,,,,
298,Пиво,Delirium Tremens,Belgian Strong Golden Ale,Бельгия,Квадрат,Да,Ale,Belgian/French Ale,Belgian Pale Ale,Belgian Strong Golden Ale,,,,,
299,Заведение,Koninklijke Brand Bierbrouwerij,Пивоварня,Голландия,Ромб,Нет,-,,,,,,,,
300,Пиво,LightSwitch Lager,Lager,США,Квадрат,Да,Lager,,,,,,,,
301,Пиво,Brewhouse Blonde,Kölsch,США,Квадрат,Да,Lager,Kolsch,,,,,,,
302,Пиво,BJ's PM Porter,Porter,США,Квадрат,Да,Ale,Stout,,,,,,,
303,Пиво,Harvest Hefeweizen,Hefeweizen,США,Квадрат,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
304,Пиво,Jeremiah Red,Red Ale,США,Квадрат,Да,Ale,Irish Ale,Red Ale,,,,,,
305,Пиво,Tatonka Stout,Stout,США,Квадрат,Да,Ale,Stout,,,,,,,
306,Бурбон,Jim Beam,-,США,Квадрат,Да,-,,,,,,,,
307,Заведение,Галерея Х. О.,-,Россия,Квадрат,Да,-,,,,,,,,
308,Заведение,Вятич,Пивоварня,Россия,Квадрат,Да,-,,,,,,,,
309,Пиво,Hoegaarden,Witbier,Бельгия,Шестигранник,Да,Ale,Belgian/French Ale,Witbier,,,,,,
310,Пиво,Piranha Pale Ale,Pale Ale,США,Квадрат,Да,Ale,Pale Ale,,,,,,,
311,Пиво,Nutty Brewnette,Brown Ale,США,Квадрат,Да,Ale,Brown Ale,,,,,,,
312,Пиво,Duckstein Rotblondes Weizen,Hefeweizen,Германия,Круг,Нет,Ale,German Ale,Weissbier,Hefeweizen,,,,,
313,Пиво,König Pilsener,Pilsner,Германия,Круг,Нет,Lager,Pilsner,,,,,,,
314,Заведение,Schüttinger Gasthausbrauerei,Ресторан-пивоварня,Германия,Круг,Нет,-,,,,,,,,
315,Пиво,Heineken,Lager,Голландия,Круг,Нет,Lager,,,,,,,,
316,Пиво,Heineken,Lager,Голландия,Круг,Нет,Lager,,,,,,,,
317,Пиво,KEO,Lager,Греция,Круг,Нет,Lager,,,,,,,,
318,Пиво,Young's Double Chocolate Stout,Stout,Англия,Круг,Нет,Ale,Stout,,,,,,,
319,Пиво,Kirschbier,Fruit Beer,Россия,Круг,Нет,Ale,Lambic,Fruit,,,,,,
320,Пиво,Сибирская корона,Lager,Россия,Круг,Нет,Lager,,,,,,,,
321,Чай,Enerwood dream,-,Россия,Круг,Нет,-,,,,,,,,
322,Заведение,Korston,Отель,Россия,Круг,Нет,-,,,,,,,,
323,Заведение,Августин,Ресторан-пивоварня,Россия,Круг,Нет,-,,,,,,,,
324,Заведение,Августин,Ресторан-пивоварня,Россия,Круг,Нет,-,,,,,,,,
325,Заведение,Брянскпиво,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
326,Пиво,Sion Kölsch,Kölsch,Германия,Квадрат,Да,Lager,Kolsch,,,,,,,
327,Пиво,Rouge de Bruxelles,Fruit Beer,Бельгия,Круг,Нет,Ale,Lambic,Fruit,,,,,,
328,Заведение,AF Brew,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
329,Заведение,AF Brew,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
330,Заведение,Бакунин,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
331,Заведение,Счастье,Ресторан,Россия,Круг,Нет,-,,,,,,,,
332,Пиво,Holsten ,Pilsner,Германия,Овал,Нет,Lager,Pilsner,,,,,,,
333,Заведение,Бакунин,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
334,Пиво,Der Nussknacker ,Stout,Россия,Круг,Нет,Ale,Stout,,,,,,,
335,Пиво,Alpen Bier,Witbier,Россия,Круг,Нет,Ale,Belgian/French Ale,Witbier,,,,,,
336,Заведение,Hacker-Pschorr,Пивоварня,Германия,Круг,Нет,-,,,,,,,,
337,Пиво,АЛФА,Lager,Греция,Круг,Нет,Lager,,,,,,,,
338,Пиво,Löwenbräu,Lager,Германия,Другое,Нет,Lager,,,,,,,,
339,Пиво,Gaffels Fassbrause Zitrone,Non-Alcoholic,Германия,Квадрат,Да,-,,,,,,,,
340,Заведение,Dunaparti matroz kocsma,Ресторан,Венгрия,Круг,Нет,-,,,,,,,,
341,Пиво,Stella Artois,Lager,Бельгия,Овал,Нет,Lager,,,,,,,,
342,Пиво,Bishops Finger,Extra Special,Англия,Овал,Нет,Ale,Pale Ale,English Pale Ale/Bitter,Extra Special/Strong Bitter,,,,,
343,Заведение,Victory Art Brew,Пивоварня,Россия,Другое,Нет,-,,,,,,,,
344,Пиво,Titanic Royal Stout,Stout,Англия,Круг,Нет,Ale,Stout,,,,,,,
345,Пиво,Leffe,Много,Бельгия,Круг,Нет,-,,,,,,,,
346,Пиво,Tennent's Super,Lager,Шотландия,Круг,Нет,Lager,,,,,,,,
347,Пиво,Ячменный колос,Lager,Россия,Круг,Нет,Lager,,,,,,,,
348,Пиво,Warsteiner Premium Verum,Pilsner,Германия,Круг,Нет,Lager,Pilsner,,,,,,,
349,Пиво,Fort Ross APA,Pale Ale,Россия,Круг,Нет,Ale,Pale Ale,,,,,,,
350,Пиво,Kozel ,Много,Чехия,Овал,Да,-,,,,,,,,
351,Пиво,Hagen,Lager,Россия,Круг,Да,Lager,,,,,,,,
352,Заведение,Timmermans,Пивоварня,Бельгия,Круг,Да,-,,,,,,,,
353,Виски,Ballantine's,-,Шотландия,Круг,Да,-,,,,,,,,
354,Пиво,Amstel,Lager,Голландия,Круг,Да,Lager,,,,,,,,
355,Пиво,Paulaner,Hefeweizen,Германия,Круг,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
356,Пиво,Dooliner,Red Ale,Ирландия,Круг,Да,Ale,Irish Ale,Red Ale,,,,,,
357,Пиво,Friday Avenue American Lager,Lager,Россия,Круг,Да,Lager,,,,,,,,
358,Заведение,Country bar,Ресторан-пивоварня,Россия,Круг,Да,-,,,,,,,,
359,Пиво,Liebenweiss ,Hefeweizen,Германия,Круг,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
360,Пиво,Erdinger Urweisse,Hefeweizen,Германия,Круг,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
361,Пиво,Amstel,Lager,Голландия,Круг,Да,Lager,,,,,,,,
362,Пиво,Tripel Karmeliet,Tripel,Бельгия,Круг,Да,Ale,Belgian/French Ale,Belgian Strong Pale Ale,Tripel,,,,,
363,Заведение,Степан разин,Пивоварня,Россия,Круг,Да,-,,,,,,,,
364,Заведение,Darba tiesibas,Профсоюз,Латвия,Круг,Да,-,,,,,,,,
365,Заведение,Darba tiesibas,Профсоюз,Латвия,Круг,Да,-,,,,,,,,
366,Пиво,Guinness,Stout,Ирландия,Круг,Да,Ale,Stout,,,,,,,
367,Пиво,HopStorm IPA,India Pale Ale,США,Круг,Да,Ale,Pale Ale,India Pale Ale,,,,,,
368,Ром,Malibu,Ром,США,Круг,Да,-,,,,,,,,
369,Пиво,Grimbergen ,Belgian Dubbel,Бельгия,Круг,Да,Ale,Belgian/French Ale,Belgian Dark Ale,Belgian Strong Dark Ale,Dubbel,,,,
370,Заведение,Karl Strauss Brewing Company,Пивоварня,США,Круг,Да,-,,,,,,,,
371,Заведение,Islands,Ресторан,США,Круг,Да,-,,,,,,,,
372,Заведение,Jimmy's Famous American Tavern,Ресторан,США,Круг,Да,-,,,,,,,,
373,Заведение,Ballast point,Ресторан-пивоварня,США,Круг,Да,-,,,,,,,,
374,Заведение,Bayerische Staatsbrauerei Weihenstephan,Пивоварня,Германия,Круг,Да,-,,,,,,,,
375,Пиво,Sion Kölsch,Kölsch,Германия,Овал,Да,Lager,Kolsch,,,,,,,
376,Пиво,Zlatý Bažant,Pilsner,Словакия,Квадрат,Да,Lager,Pilsner,,,,,,,
377,Пиво,Warka ,Lager,Польша,Круг,Да,Lager,,,,,,,,
378,Пиво,Kozel ,Много,Чехия,Овал,Да,-,,,,,,,,
379,Пиво,Хамовники,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
380,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
381,Пиво,Paulaner,Hefeweizen,Германия,Круг,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
382,Пиво,Heineken,Lager,Голландия,Круг,Да,Lager,,,,,,,,
383,Пиво,Heineken,Lager,Голландия,Круг,Да,Lager,,,,,,,,
384,Пиво,Heineken,Lager,Голландия,Круг,Да,Lager,,,,,,,,
385,Пиво,Amstel,Lager,Голландия,Круг,Да,Lager,,,,,,,,
386,Пиво,Gambrinus Originál 10,Pilsner,Чехия,Круг,Да,Lager,Pilsner,,,,,,,
387,Пиво,Gambrinus Originál 10,Pilsner,Чехия,Круг,Да,Lager,Pilsner,,,,,,,
388,Пиво,Svyturys Originalusis,Lager,Литва,Круг,Да,Lager,,,,,,,,
389,Пиво,Velvet,Lager,Чехия,Круг,Да,Lager,,,,,,,,
390,Пиво,Балтика 8,Hefeweizen,Россия,Круг,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
391,Пиво,Spaten,Lager,Германия,Квадрат,Да,Lager,,,,,,,,
392,Пиво,Heineken,Lager,Голландия,Круг,Да,Lager,,,,,,,,
393,Пиво,Stella Artois,Lager,Бельгия,Круг,Да,Lager,,,,,,,,
394,Пиво,Paulaner Hefe-Weißbier,Hefeweizen,Германия,Круг,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
395,Пиво,Арсенальное,Malt Liquor,Россия,Круг,Да,Lager,American lager,American adjunct lager,Malt liquor,,,,,
396,Заведение,Балтика,Пивоварня,Россия,Круг,Да,-,,,,,,,,
397,Пиво,Cervena Selka Svetle,Pilsner,Россия,Круг,Да,Lager,Pilsner,,,,,,,
398,Пиво,Heineken,Lager,Голландия,Круг,Да,Lager,,,,,,,,
399,Пиво,Andechser,Lager,Германия,Круг,Да,Lager,,,,,,,,
400,Пиво,Tongerlo Blond,Blonde Ale,Бельгия,Квадрат,Да,Ale,Pale Ale,American Pale Ale,Blonde Ale,,,,,
401,Пиво,Арсенальное,Lager,Россия,Круг,Да,Lager,,,,,,,,
402,Пиво,König Ludwig Weissbier Hell,Hefeweizen,Германия,Овал,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
403,Водка,Kremlovskaya vodka,Водка,Россия,Другое,Да,-,,,,,,,,
404,Заведение,Batemans,Пивоварня,Англия,Круг,Да,-,,,,,,,,
405,Пиво,Невское,Lager,Россия,Круг,Да,Lager,,,,,,,,
406,Лимонад,Coca-Cola,Лимонад,США,Квадрат,Да,-,,,,,,,,
407,Пиво,Очаково,Lager,Россия,Круг,Да,Lager,,,,,,,,
408,Пиво,Budweiser Budvar,Pilsner,Чехия,Круг,Да,Lager,Pilsner,,,,,,,
409,Пиво,Warsteiner Premium Verum,Pilsner,Германия,Круг,Да,Lager,Pilsner,,,,,,,
410,Пиво,Astérie Blanche,Witbier,Бельгия,Круг,Да,Ale,Belgian/French Ale,Witbier,,,,,,
411,Пиво,Svyturys Originalusis,Lager,Литва,Круг,Да,Lager,,,,,,,,
412,Заведение,Würzburger Hofbräu,Пивоварня,Германия,Круг,Да,-,,,,,,,,
413,Заведение,Балтика,Пивоварня,Россия,Круг,Да,-,,,,,,,,
414,Заведение,Stone Brewing,Пивоварня,США,Круг,Да,-,,,,,,,,
415,Заведение,-,-,Чехия,Круг,Да,-,,,,,,,,
416,Пиво,Bernard Sváteční Ležák,Pilsner,Чехия,Ромб,Да,Lager,Pilsner,,,,,,,
417,Пиво,Gaffel Kölsch,Kölsch,Германия,Квадрат,Да,Lager,Kolsch,,,,,,,
418,Пиво,Gaffel Kölsch,Kölsch,Германия,Квадрат,Да,Lager,Kolsch,,,,,,,
419,Пиво,Gaffel Kölsch,Kölsch,Германия,Квадрат,Да,Lager,Kolsch,,,,,,,
420,Пиво,Gaffel Kölsch,Kölsch,Германия,Квадрат,Да,Lager,Kolsch,,,,,,,
421,Пиво,Pilsner Urquell,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
422,Пиво,Edelweiss,Hefeweizen,Австрия,Квадрат,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
423,Пиво,Westmalle Trappist ,Belgian Dubbel,Бельгия,Квадрат,Да,Ale,Belgian/French Ale,Belgian Dark Ale,Belgian Strong Dark Ale,Dubbel,,,,
424,Пиво,Westmalle Trappist ,Belgian Dubbel,Бельгия,Квадрат,Да,Ale,Belgian/French Ale,Belgian Dark Ale,Belgian Strong Dark Ale,Dubbel,,,,
425,Пиво,Edelweiss Snowfresh,Hefeweizen,Австрия,Квадрат,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
426,Пиво,Staropramen Premium ,Pilsner,Чехия,Другое,Да,Lager,Pilsner,,,,,,,
427,Заведение,Василеостровская пивоварня,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
428,Заведение,Василеостровская пивоварня,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
429,Заведение,Beer House,Ресторан,Эстония,Круг,Да,-,,,,,,,,
430,Заведение,Стирка 40°,Кафе,Россия,Круг,Да,-,,,,,,,,
431,Заведение,Valmiermuiža,Пивоварня,Латвия,Круг,Да,-,,,,,,,,
432,Заведение,Manneken Pis,Кафе,Россия,Круг,Да,-,,,,,,,,
433,Город,Tartu,Город,Эстония,Квадрат,Нет,-,,,,,,,,
434,Пиво,Delirium Noël,Winter Ale,Бельгия,Квадрат,Нет,Ale,Pale Ale,Strong Pale Ale,Winter Ale,,,,,
